input,output
"Dustin: Trust me, please. Hey. It's me, it's me. It's just your friend, it's Dustin. It's Dustin, all right? You remember me? Will you let us pass? Okay, okay, I'm sorry. I'm sorry about the storm cellar. That was a pretty douchey thing to do. You hungry? Yeah? I've got our favorite. See? Nougat. Look at that. Yummy. Here, all right? Eat up, buddy. Come on. Come on. There's plenty. I've got more. Goodbye, buddy.",Lucas: He's insane.
Lucas: He's insane.,Mike: Don't.
Mike: Don't.,Steve: Shut up.
Steve: Shut up.,Mike: Let's go.
Mike: Let's go.,"Steve: Let's go, let's go!"
"Steve: Let's go, let's go!","Kali: I want you to find something from your past, something that angers you. Now channel it."
"Kali: I want you to find something from your past, something that angers you. Now channel it.",Eleven: Papa!
Eleven: Papa!,Hopper: Jesus!
Hopper: Jesus!,Max: What was that?
Max: What was that?,Mike: They're coming. Run! Run!
Mike: They're coming. Run! Run!,"Lucas: There, there!"
"Lucas: There, there!",Mike: Come on! Let's go.
Mike: Come on! Let's go.,"Max: Lucas, come on. Reach for my hand."
"Max: Lucas, come on. Reach for my hand.",Lucas: Come on. Pull him.
Lucas: Come on. Pull him.,Steve: Here.
Steve: Here.,Dustin: Come on! No! This is... Eleven.
Dustin: Come on! No! This is... Eleven.,"Dr. Brenner: You have a wound, Eleven. A terrible wound."
"Dr. Brenner: You have a wound, Eleven. A terrible wound.","Eleven: The gate, I opened it."
"Eleven: The gate, I opened it.",Dr. Brenner: And it's festering.
Dr. Brenner: And it's festering.,Eleven: I'm the monster.
Eleven: I'm the monster.,Dr. Brenner: And it will grow. Spread.
Dr. Brenner: And it will grow. Spread.,Eleven: Papa!
Eleven: Papa!,"Dr. Brenner: And eventually, it will kill you."
"Dr. Brenner: And eventually, it will kill you.","Hopper: Jane! You did good, kid. You did so good."
"Hopper: Jane! You did good, kid. You did so good.","Reporter: Since the release of the incendiary tape, the once quiet town of Hawkins, Indiana, has spent time in a place it never expected. The national spotlight. Under mounting pressure, several high-ranking members from the U.S. Department of Energy have admitted involvement in the death and cover-up of Hawkins resident Barbara Holland who died due to exposure to an experimental chemical asphyxiant, which had leaked from the grounds of the lab. We sent our own April Kline to Hawkins to speak to residents, residents who told us they thought they lived in a safe town. The kind of town where, they say, nothing ever happens."
"Reporter: Since the release of the incendiary tape, the once quiet town of Hawkins, Indiana, has spent time in a place it never expected. The national spotlight. Under mounting pressure, several high-ranking members from the U.S. Department of Energy have admitted involvement in the death and cover-up of Hawkins resident Barbara Holland who died due to exposure to an experimental chemical asphyxiant, which had leaked from the grounds of the lab. We sent our own April Kline to Hawkins to speak to residents, residents who told us they thought they lived in a safe town. The kind of town where, they say, nothing ever happens.",Powell: Chief-o.
Powell: Chief-o.,Hopper: How's the leg?
Hopper: How's the leg?,Powell: Better. Pretty sure my football career is over.
Powell: Better. Pretty sure my football career is over.,Hopper: Want some? No way I'm gonna finish it.
Hopper: Want some? No way I'm gonna finish it.,"Powell: No. I'm, uh... on a diet."
"Powell: No. I'm, uh... on a diet.","Hopper: Well, you're a better man than me."
"Hopper: Well, you're a better man than me.","Powell: Hey, got a little something for you."
"Powell: Hey, got a little something for you.",Owens: I thought...
Owens: I thought...,"Powell: Sometimes I impress even myself. Still, I'd let things cool off for a while, if I were you."
"Powell: Sometimes I impress even myself. Still, I'd let things cool off for a while, if I were you.",Hopper: How long is a while?
Hopper: How long is a while?,Powell: Want to be safe? I give it a year.
Powell: Want to be safe? I give it a year.,Hopper: A year? What about one night out?
Hopper: A year? What about one night out?,Powell: One night?
Powell: One night?,Hopper: Yeah. How risky would that be?
Hopper: Yeah. How risky would that be?,Powell: What's so important about one night?
Powell: What's so important about one night?,"Joyce: Yeah, you got it. See?"
"Joyce: Yeah, you got it. See?",Will: Mom!
Will: Mom!,Joyce: Wow!
Joyce: Wow!,Will: Do you always have to be filming everything?
Will: Do you always have to be filming everything?,"Jonathan: No, no. Just the good stuff."
"Jonathan: No, no. Just the good stuff.",Joyce: Are you sure people still dance like this?
Joyce: Are you sure people still dance like this?,Jonathan: Yeah. It's just what's happening.
Jonathan: Yeah. It's just what's happening.,Joyce: Is it what's happening?
Joyce: Is it what's happening?,"Jonathan: Yeah, yeah, it's what's happening. Oh, wait. All right, that's enough. One more, okay? Just one more."
"Jonathan: Yeah, yeah, it's what's happening. Oh, wait. All right, that's enough. One more, okay? Just one more.",Joyce: Why?
Joyce: Why?,Jonathan: You look so handsome.
Jonathan: You look so handsome.,Will: Mom!
Will: Mom!,Nancy: Mike.
Nancy: Mike.,Lucas: Hey... wanna dance?
Lucas: Hey... wanna dance?,Dustin: No.
Dustin: No.,"Lucas: We should, you know, get out there, like, do our thing... Stop."
"Lucas: We should, you know, get out there, like, do our thing... Stop.",Dustin: I love this song.
Dustin: I love this song.,Lucas: You?
Lucas: You?,"Dustin: Yeah, I love it. But not as much as I love you, Lukey."
"Dustin: Yeah, I love it. But not as much as I love you, Lukey.","Lucas: Get out of my room! Ow, ow. That hurts."
"Lucas: Get out of my room! Ow, ow. That hurts.",Susan: It's gonna be worth it. Promise.
Susan: It's gonna be worth it. Promise.,Max: See? Pretty.
Max: See? Pretty.,Dustin: Son of a bitch! Son of a bitch!
Dustin: Son of a bitch! Son of a bitch!,Susan: Where did you see it last?
Susan: Where did you see it last?,"Dustin: Right here, where I put it."
"Dustin: Right here, where I put it.","Susan: What's in there that's so important anyway? You look fabulous, baby. Got it. That's your ride. Dusty!"
"Susan: What's in there that's so important anyway? You look fabulous, baby. Got it. That's your ride. Dusty!","Steve: All right, buddy, here we are. So, remember, once you get in there..."
"Steve: All right, buddy, here we are. So, remember, once you get in there...",Dustin: Pretend like I don't care.
Dustin: Pretend like I don't care.,Steve: You don't care.
Steve: You don't care.,Dustin: I don't care.
Dustin: I don't care.,"Steve: There you go. You're learning, my friend. You're learning."
"Steve: There you go. You're learning, my friend. You're learning.",Dustin: Hey.
Dustin: Hey.,"Steve: What? Come on. You look great, okay? You look... You look great. Okay? Now you're gonna go in there..."
"Steve: What? Come on. You look great, okay? You look... You look great. Okay? Now you're gonna go in there...",Dustin: Yeah.
Dustin: Yeah.,Steve: Look like a million bucks.
Steve: Look like a million bucks.,Dustin: Yeah.
Dustin: Yeah.,Steve: And you're gonna slay 'em dead.
Steve: And you're gonna slay 'em dead.,Dustin: Like a lion.
Dustin: Like a lion.,"Steve: Don't do that, okay?"
"Steve: Don't do that, okay?",Dustin: Okay.
Dustin: Okay.,Steve: Good luck.
Steve: Good luck.,"Student: Looking very snazzy tonight, sir."
"Student: Looking very snazzy tonight, sir.","Dustin: Thank you, my lord."
"Dustin: Thank you, my lord.","Jonathan: Hey, Nance."
"Jonathan: Hey, Nance.",Nancy: Hey.
Nancy: Hey.,Jonathan: What's in this?
Jonathan: What's in this?,Nancy: Pure fuel.
Nancy: Pure fuel.,Dustin: Holy shit. What happened to you?
Dustin: Holy shit. What happened to you?,"Steve: What do you mean, 'What happened'?"
"Steve: What do you mean, 'What happened'?",Dustin: What?
Dustin: What?,Steve: Dude.
Steve: Dude.,Dustin: Your hair.
Dustin: Your hair.,Steve: Is there a bird nesting in there?
Steve: Is there a bird nesting in there?,"Dustin: What do you mean, 'What's wrong'? There's no bird nesting in here, asshole. Okay? I worked hard."
"Dustin: What do you mean, 'What's wrong'? There's no bird nesting in here, asshole. Okay? I worked hard.","Lucas: Max... Hey. Um, it's nice, right? You want to, um... You want to, like... You know? Like, just you and me?"
"Lucas: Max... Hey. Um, it's nice, right? You want to, um... You want to, like... You know? Like, just you and me?","Max: Are you trying to ask me to dance, stalker?"
"Max: Are you trying to ask me to dance, stalker?","Lucas: No, of course not. Unless you want to."
"Lucas: No, of course not. Unless you want to.",Max: So smooth. Come on.
Max: So smooth. Come on.,"Girl: Hey, Zombie Boy. Do you want to dance?"
"Girl: Hey, Zombie Boy. Do you want to dance?","Will: Um... I don't... I mean... I mean, yeah. Sure."
"Will: Um... I don't... I mean... I mean, yeah. Sure.",Girl: Cool.
Girl: Cool.,"Dustin: Wish me luck, Mike. I'm going in. Stacy."
"Dustin: Wish me luck, Mike. I'm going in. Stacy.",Girl: He just broke up with Jennifer.
Girl: He just broke up with Jennifer.,Dustin: Stacy.
Dustin: Stacy.,Stacy: Yeah?
Stacy: Yeah?,Dustin: Shall we?
Dustin: Shall we?,"Stacy: Um, no, thanks."
"Stacy: Um, no, thanks.","Dustin: Oh, my God."
"Dustin: Oh, my God.",Mike: Hey.
Mike: Hey.,Eleven: Hey.
Eleven: Hey.,Mike: Wanna dance?
Mike: Wanna dance?,Eleven: What?
Eleven: What?,Mike: Come on. Let's go. Here. Mmm-hmm. Closer. A little closer. Okay. Now feel the music. The rhythm. Start to move to it. Yeah. There.
Mike: Come on. Let's go. Here. Mmm-hmm. Closer. A little closer. Okay. Now feel the music. The rhythm. Start to move to it. Yeah. There.,Eleven: Good?
Eleven: Good?,"Mike: That's good. Yeah. Okay. You know, out of all of my brother's friends, you're my favorite. You've always been my favorite."
"Mike: That's good. Yeah. Okay. You know, out of all of my brother's friends, you're my favorite. You've always been my favorite.",Eleven: Really?
Eleven: Really?,Mike: Yeah.
Mike: Yeah.,"Nancy: Girls this age are dumb. But give them a few years, and they'll wise up. And, uh, you're gonna drive them nuts."
"Nancy: Girls this age are dumb. But give them a few years, and they'll wise up. And, uh, you're gonna drive them nuts.",Dustin: You think so?
Dustin: You think so?,"Nancy: Oh, I know so."
"Nancy: Oh, I know so.",Hopper: Hey.
Hopper: Hey.,"Joyce: Hey. Will wanted me to give him some space, so... I'm giving him a few feet."
"Joyce: Hey. Will wanted me to give him some space, so... I'm giving him a few feet.","Hopper: What do you say? I'm pretty sure that Mr. Cooper retired in the '70s, so... we might be okay. How are you holding up?"
"Hopper: What do you say? I'm pretty sure that Mr. Cooper retired in the '70s, so... we might be okay. How are you holding up?",Joyce: You know.
Joyce: You know.,"Hopper: Yeah. That feeling never goes away. It is true what they say, you know. Every day it does get a little easier."
"Hopper: Yeah. That feeling never goes away. It is true what they say, you know. Every day it does get a little easier.",Mike: You look beautiful. Do you wanna dance?
Mike: You look beautiful. Do you wanna dance?,Eleven: I don't know how.
Eleven: I don't know how.,Mike: I don't either. Do you want to figure it out? Like this.
Mike: I don't either. Do you want to figure it out? Like this.,"Eleven: Yeah, like that."
"Eleven: Yeah, like that.",Unknown: Mother of God.
Unknown: Mother of God.,Unknown: It's... it's polycarbonate. It can't get through.
Unknown: It's... it's polycarbonate. It can't get through.,Unknown: Mother Mary and Joseph.
Unknown: Mother Mary and Joseph.,Unknown: You sure about that glass?
Unknown: You sure about that glass?,Unknown: What the hell?
Unknown: What the hell?,Unknown: We're too late. What?
Unknown: We're too late. What?,Unknown: We're too late!
Unknown: We're too late!,Unknown: What's going on?
Unknown: What's going on?,Unknown: We're under attack.
Unknown: We're under attack.,Unknown: What's going on down there? Does anybody copy?
Unknown: What's going on down there? Does anybody copy?,Unknown: Hurry!
Unknown: Hurry!,Owens: Stairs! Stairs!
Owens: Stairs! Stairs!,Unknown: We need to make Will sleep.
Unknown: We need to make Will sleep.,"Unknown: What? He's a spy. If he knows where we are, so does the shadow monster."
"Unknown: What? He's a spy. If he knows where we are, so does the shadow monster.",Unknown: He's lying!
Unknown: He's lying!,"Unknown: He killed those soldiers. He'll kill us, too!"
"Unknown: He killed those soldiers. He'll kill us, too!",Will: He's lying! He's lying! He's lying! He's lying! He's lying!
Will: He's lying! He's lying! He's lying! He's lying! He's lying!,Unknown: Those are gunshots!
Unknown: Those are gunshots!,Will: He's lying! He's lying!
Will: He's lying! He's lying!,"Joyce: Okay, Will, Will, listen, listen. Do you know who I am? Do you know who I am?"
"Joyce: Okay, Will, Will, listen, listen. Do you know who I am? Do you know who I am?",Will: You're... You're... You're Mom.
Will: You're... You're... You're Mom.,Unknown: Hold him down.
Unknown: Hold him down.,"Will: No! No! Let go! No! No! Let me go! Let go! No, let me go!"
"Will: No! No! Let go! No! No! Let me go! Let go! No, let me go!",Joyce: I'm sorry. I'm so sorry.
Joyce: I'm sorry. I'm so sorry.,Will: Let me go! Let me go! Let me go!
Will: Let me go! Let me go! Let me go!,Unknown: We gotta go. We gotta go.
Unknown: We gotta go. We gotta go.,Unknown: Come on!
